time,S_mean,I_mean,R_mean
0,3585.0,15.0,0.0
1,3548.0,51.4,0.6
2,3465.2,131.8,3.0
3,3330.3,260.9,8.8
4,3142.0,436.2,21.8
5,2903.0,655.1,41.9
6,2629.1,894.3,76.6
7,2323.3,1153.2,123.5
8,1998.5,1420.2,181.3
9,1657.5,1690.6,251.9
10,1324.0,1939.7,336.3
11,1015.9,2151.3,432.8
12,733.9,2326.3,539.8
13,512.7,2425.3,662.0
14,344.7,2469.0,786.3
15,220.0,2472.9,907.1
16,127.1,2443.1,1029.8
17,60.7,2388.7,1150.6
18,23.7,2300.7,1275.6
19,6.1,2204.2,1389.7
20,0.7,2105.0,1494.3
21,0.2,1997.3,1602.5
22,0.1,1908.1,1691.8
23,0.1,1813.8,1786.1
24,0.0,1719.5,1880.5
25,0.0,1634.4,1965.6
26,0.0,1556.1,2043.9
27,0.0,1480.5,2119.5
28,0.0,1406.9,2193.1
29,0.0,1339.3,2260.7
30,0.0,1270.6,2329.4
31,0.0,1205.3,2394.7
32,0.0,1145.9,2454.1
33,0.0,1086.2,2513.8
34,0.0,1031.7,2568.3
35,0.0,977.3,2622.7
36,0.0,927.2,2672.8
37,0.0,880.2,2719.8
38,0.0,837.9,2762.1
39,0.0,794.7,2805.3
40,0.0,761.4,2838.6
41,0.0,723.2,2876.8
42,0.0,688.3,2911.7
43,0.0,653.4,2946.6
44,0.0,622.4,2977.6
45,0.0,587.9,3012.1
46,0.0,560.1,3039.9
47,0.0,530.6,3069.4
48,0.0,502.7,3097.3
49,0.0,478.0,3122.0
50,0.0,455.3,3144.7
51,0.0,432.3,3167.7
52,0.0,410.7,3189.3
53,0.0,392.3,3207.7
54,0.0,373.5,3226.5
55,0.0,354.1,3245.9
56,0.0,335.6,3264.4
57,0.0,318.0,3282.0
58,0.0,302.4,3297.6
59,0.0,289.1,3310.9
60,0.0,277.0,3323.0
61,0.0,263.9,3336.1
62,0.0,249.4,3350.6
63,0.0,237.4,3362.6
64,0.0,225.5,3374.5
65,0.0,213.9,3386.1
66,0.0,206.1,3393.9
67,0.0,196.4,3403.6
68,0.0,188.1,3411.9
69,0.0,178.6,3421.4
70,0.0,169.3,3430.7
71,0.0,162.9,3437.1
72,0.0,155.1,3444.9
73,0.0,147.1,3452.9
74,0.0,139.0,3461.0
75,0.0,132.2,3467.8
76,0.0,124.3,3475.7
77,0.0,117.6,3482.4
78,0.0,111.8,3488.2
79,0.0,105.7,3494.3
80,0.0,101.1,3498.9
81,0.0,96.2,3503.8
82,0.0,91.7,3508.3
83,0.0,87.9,3512.1
84,0.0,83.2,3516.8
85,0.0,79.1,3520.9
86,0.0,75.2,3524.8
87,0.0,71.3,3528.7
88,0.0,67.7,3532.3
89,0.0,64.1,3535.9
90,0.0,60.5,3539.5
91,0.0,56.4,3543.6
92,0.0,54.2,3545.8
93,0.0,51.9,3548.1
94,0.0,49.6,3550.4
95,0.0,46.8,3553.2
96,0.0,44.1,3555.9
97,0.0,42.2,3557.8
98,0.0,40.3,3559.7
99,0.0,37.9,3562.1
100,0.0,36.4,3563.6
101,0.0,34.5,3565.5
102,0.0,33.1,3566.9
103,0.0,31.6,3568.4
104,0.0,29.7,3570.3
105,0.0,28.2,3571.8
106,0.0,27.3,3572.7
107,0.0,26.4,3573.6
108,0.0,25.2,3574.8
109,0.0,23.9,3576.1
110,0.0,22.6,3577.4
111,0.0,20.9,3579.1
112,0.0,20.0,3580.0
113,0.0,18.4,3581.6
114,0.0,17.3,3582.7
115,0.0,16.4,3583.6
116,0.0,15.8,3584.2
117,0.0,15.0,3585.0
118,0.0,14.1,3585.9
119,0.0,13.4,3586.6
120,0.0,12.7,3587.3
121,0.0,11.7,3588.3
122,0.0,10.9,3589.1
123,0.0,10.0,3590.0
124,0.0,9.4,3590.6
125,0.0,9.0,3591.0
126,0.0,8.4,3591.6
127,0.0,8.1,3591.9
128,0.0,7.8,3592.2
129,0.0,7.6,3592.4
130,0.0,7.1,3592.9
131,0.0,6.4,3593.6
132,0.0,6.3,3593.7
133,0.0,6.2,3593.8
134,0.0,5.9,3594.1
135,0.0,5.7,3594.3
136,0.0,5.3,3594.7
137,0.0,4.9,3595.1
138,0.0,4.6,3595.4
139,0.0,4.5,3595.5
140,0.0,4.3,3595.7
141,0.0,4.1,3595.9
142,0.0,3.9,3596.1
143,0.0,3.7,3596.3
144,0.0,3.4,3596.6
145,0.0,3.0,3597.0
146,0.0,2.7,3597.3
147,0.0,2.7,3597.3
148,0.0,2.6,3597.4
149,0.0,2.4,3597.6
